age,default,balance,contact,day,month,duration,campaign,pdays,previous,poutcome,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,housing_no,housing_yes,loan_no,loan_yes
63,no,415,cellular,7,oct,323,1,-1,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
48,no,5887,cellular,13,aug,227,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
48,no,1355,cellular,4,jul,134,2,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
56,no,16873,cellular,7,oct,223,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
51,no,203,cellular,8,may,134,1,170,5,failure,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
31,no,338,cellular,28,jan,155,1,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
29,no,444,cellular,21,jul,130,4,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
41,no,0,cellular,7,jul,630,3,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
32,no,360,cellular,19,nov,164,2,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
37,no,0,cellular,16,jul,268,2,182,3,success,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
42,yes,2,unknown,5,may,380,1,-1,0,unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
31,no,6248,unknown,9,may,154,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
41,no,412,unknown,3,jun,154,5,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
56,no,344,unknown,15,may,221,1,-1,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
54,no,3222,cellular,14,aug,67,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
41,no,174,cellular,14,may,367,2,297,1,other,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
40,no,591,cellular,14,aug,87,6,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
50,no,388,cellular,5,feb,701,1,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
40,no,219,cellular,17,nov,204,2,196,1,failure,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
27,no,451,cellular,16,jul,652,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
60,no,5,cellular,26,aug,63,2,-1,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
28,no,177,cellular,6,may,150,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
52,no,657,telephone,7,jul,398,2,460,2,failure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
37,no,1315,cellular,30,jun,224,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
51,no,1466,unknown,7,may,406,2,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
41,no,879,cellular,7,jul,60,4,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
35,no,293,unknown,30,may,521,2,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
38,no,424,cellular,17,apr,279,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
34,no,1831,unknown,20,may,203,2,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39,no,111,cellular,18,nov,201,2,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
34,no,455,unknown,20,jun,372,3,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
27,no,-195,cellular,18,may,391,1,-1,0,unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
32,no,3616,cellular,14,aug,165,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
57,no,14093,cellular,11,aug,231,5,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
41,no,1567,cellular,1,jul,291,2,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
41,no,5426,unknown,14,may,149,2,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
30,no,261,cellular,19,oct,233,1,137,20,failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
36,no,2843,cellular,12,feb,473,1,182,1,success,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
31,no,406,cellular,4,feb,736,1,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
36,no,0,unknown,6,may,337,1,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
38,no,493,cellular,11,may,553,1,367,7,failure,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
49,no,5996,telephone,21,nov,345,2,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
57,no,3777,telephone,13,may,65,2,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
34,no,524,unknown,13,aug,9,1,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
32,no,574,cellular,14,apr,259,2,145,3,failure,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
37,no,427,unknown,9,jun,371,3,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
33,no,483,cellular,3,feb,280,2,-1,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
56,no,3391,cellular,21,apr,243,1,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
27,no,0,cellular,23,jul,435,3,-1,0,unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
21,no,2488,cellular,30,jun,258,6,169,3,success,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
58,no,1517,telephone,29,jul,7,5,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
32,no,217,cellular,15,jul,317,5,-1,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
33,no,22,cellular,30,jan,76,2,207,1,failure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
25,no,331,telephone,26,aug,170,4,-1,0,unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
25,no,505,cellular,17,nov,386,2,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
30,no,1808,cellular,18,may,83,2,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
22,no,4111,cellular,19,aug,65,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
39,no,52,cellular,13,aug,69,1,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
46,no,25,unknown,17,jun,564,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
31,no,1890,cellular,21,jul,588,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
45,no,419,cellular,18,aug,113,4,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
32,no,2693,unknown,21,may,16,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
36,no,-231,cellular,15,jul,779,2,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
51,yes,-55,cellular,11,may,281,2,266,6,failure,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
34,no,462,cellular,21,aug,1877,3,-1,0,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
24,no,119,unknown,15,sep,51,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
45,no,586,cellular,28,jul,32,3,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
32,no,228,telephone,5,feb,176,1,288,3,failure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
77,no,4659,cellular,14,apr,161,1,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
41,no,168,cellular,18,nov,187,3,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
37,no,0,unknown,26,may,24,1,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
43,yes,-715,unknown,30,may,67,3,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
48,no,0,cellular,8,may,85,1,168,2,failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
27,no,769,unknown,9,may,317,2,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
33,no,0,cellular,28,aug,236,10,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
29,no,428,cellular,7,may,54,1,345,2,failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
34,no,0,cellular,5,feb,71,1,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
52,no,-970,cellular,4,feb,489,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
60,no,6313,unknown,19,jun,39,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
32,no,948,cellular,12,aug,204,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
32,no,0,cellular,22,jul,455,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
56,no,1877,unknown,30,may,86,1,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
31,no,874,cellular,18,nov,190,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
42,no,323,unknown,8,may,280,2,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
35,no,106,cellular,11,aug,588,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
56,no,1906,unknown,19,jun,45,9,-1,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
48,no,1152,cellular,21,jul,168,5,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
46,no,179,cellular,29,jan,194,4,436,1,other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
37,no,391,unknown,8,may,103,3,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
41,no,89,unknown,6,may,333,2,-1,0,unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
36,no,442,cellular,29,jul,102,3,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
45,yes,-249,unknown,1,jul,92,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
55,no,8104,cellular,6,feb,213,2,-1,0,unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
39,no,501,unknown,26,may,289,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
35,no,308,cellular,22,aug,77,2,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
55,no,602,cellular,1,jun,324,3,90,2,success,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
55,no,273,cellular,29,jan,84,3,183,3,failure,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
27,no,50,cellular,29,jan,168,1,-1,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34,no,1641,cellular,17,apr,380,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
34,no,20,unknown,4,oct,10,1,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
25,no,4590,unknown,28,may,199,2,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
41,no,-256,unknown,9,may,35,3,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
43,no,978,unknown,26,may,82,2,-1,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
28,no,80,cellular,20,oct,676,2,146,2,failure,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
31,no,2104,unknown,3,jun,455,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
78,no,499,telephone,16,mar,80,4,-1,0,unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
45,no,1269,cellular,29,jan,549,2,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
48,no,310,unknown,6,may,135,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
32,no,1143,cellular,10,jul,412,1,-1,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
42,no,2980,unknown,20,jun,101,3,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
37,no,37,cellular,28,jan,253,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
40,no,462,cellular,6,apr,272,1,335,4,other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
32,no,1031,cellular,17,jul,84,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
42,no,9009,cellular,20,nov,135,2,-1,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
43,no,-465,cellular,23,jul,166,1,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
44,no,5181,cellular,31,jul,18,7,-1,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
37,no,176,cellular,5,may,147,2,347,1,failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
37,no,1699,unknown,9,jun,63,1,-1,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
37,no,0,cellular,17,nov,65,2,119,1,failure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
